sourceName,date,USD,EUR,number
PARTNER_REUTERS_BIDASK_24H,2021-01-31T01:00:00.000+0000,USD,KES,110.05
PARTNER_REUTERS_BIDASK_24H,2021-02-01T01:00:00.000+0000,USD,KES,110.05
PARTNER_REUTERS_BIDASK_24H,2021-02-02T01:00:00.000+0000,USD,KES,110.05
PARTNER_REUTERS_BIDASK_24H,2021-02-03T01:00:00.000+0000,USD,KES,109.9
PARTNER_REUTERS_BIDASK_24H,2021-02-04T01:00:00.000+0000,USD,KES,109.8
PARTNER_REUTERS_BIDASK_24H,2021-02-05T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-02-06T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-02-07T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-02-08T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-02-09T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-02-10T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-02-11T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-12T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-13T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-14T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-15T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-16T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-17T01:00:00.000+0000,USD,KES,109.35
PARTNER_REUTERS_BIDASK_24H,2021-02-18T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-02-19T01:00:00.000+0000,USD,KES,109.45
PARTNER_REUTERS_BIDASK_24H,2021-02-20T01:00:00.000+0000,USD,KES,109.5
PARTNER_REUTERS_BIDASK_24H,2021-02-22T01:00:00.000+0000,USD,KES,109.5
PARTNER_REUTERS_BIDASK_24H,2021-02-23T01:00:00.000+0000,USD,KES,109.5
PARTNER_REUTERS_BIDASK_24H,2021-02-24T01:00:00.000+0000,USD,KES,109.6
PARTNER_REUTERS_BIDASK_24H,2021-02-25T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-02-26T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-02-27T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-02-28T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-03-01T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-03-02T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-03-03T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-03-04T01:00:00.000+0000,USD,KES,109.6
PARTNER_REUTERS_BIDASK_24H,2021-03-05T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-06T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-07T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-08T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-09T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-10T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-11T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-12T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-13T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-14T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-15T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-16T01:00:00.000+0000,USD,KES,109.55
PARTNER_REUTERS_BIDASK_24H,2021-03-17T01:00:00.000+0000,USD,KES,109.6
PARTNER_REUTERS_BIDASK_24H,2021-03-18T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-03-19T01:00:00.000+0000,USD,KES,109.75
PARTNER_REUTERS_BIDASK_24H,2021-03-20T01:00:00.000+0000,USD,KES,109.75
PARTNER_REUTERS_BIDASK_24H,2021-03-21T01:00:00.000+0000,USD,KES,109.75
PARTNER_REUTERS_BIDASK_24H,2021-03-22T01:00:00.000+0000,USD,KES,109.75
PARTNER_REUTERS_BIDASK_24H,2021-03-23T01:00:00.000+0000,USD,KES,109.75
PARTNER_REUTERS_BIDASK_24H,2021-03-24T01:00:00.000+0000,USD,KES,109.75
PARTNER_REUTERS_BIDASK_24H,2021-03-25T01:00:00.000+0000,USD,KES,109.7
PARTNER_REUTERS_BIDASK_24H,2021-03-26T01:00:00.000+0000,USD,KES,109.65
PARTNER_REUTERS_BIDASK_24H,2021-03-27T01:00:00.000+0000,USD,KES,109.65
PARTNER_REUTERS_BIDASK_24H,2021-03-29T01:00:00.000+0000,USD,KES,109.65
PARTNER_REUTERS_BIDASK_24H,2021-03-30T01:00:00.000+0000,USD,KES,109.6
PARTNER_REUTERS_BIDASK_24H,2021-03-31T01:00:00.000+0000,USD,KES,109.4
PARTNER_REUTERS_BIDASK_24H,2021-04-01T01:00:00.000+0000,USD,KES,109.25
PARTNER_REUTERS_BIDASK_24H,2021-04-02T01:00:00.000+0000,USD,KES,108.8
PARTNER_REUTERS_BIDASK_24H,2021-04-03T01:00:00.000+0000,USD,KES,108.8
PARTNER_REUTERS_BIDASK_24H,2021-04-04T01:00:00.000+0000,USD,KES,108.8
PARTNER_REUTERS_BIDASK_24H,2021-04-05T01:00:00.000+0000,USD,KES,108.8
PARTNER_REUTERS_BIDASK_24H,2021-04-06T01:00:00.000+0000,USD,KES,108.8
PARTNER_REUTERS_BIDASK_24H,2021-04-07T01:00:00.000+0000,USD,KES,108.5
PARTNER_REUTERS_BIDASK_24H,2021-04-08T01:00:00.000+0000,USD,KES,108.15
PARTNER_REUTERS_BIDASK_24H,2021-04-09T01:00:00.000+0000,USD,KES,107.9
PARTNER_REUTERS_BIDASK_24H,2021-04-10T01:00:00.000+0000,USD,KES,107.2
PARTNER_REUTERS_BIDASK_24H,2021-04-12T01:00:00.000+0000,USD,KES,107.2
PARTNER_REUTERS_BIDASK_24H,2021-04-13T01:00:00.000+0000,USD,KES,107
PARTNER_REUTERS_BIDASK_24H,2020-12-31T01:00:00.000+0000,USD,GBP,0.7328154771
PARTNER_REUTERS_BIDASK_24H,2021-01-01T01:00:00.000+0000,USD,GBP,0.7311544929
PARTNER_REUTERS_BIDASK_24H,2021-01-02T01:00:00.000+0000,USD,GBP,0.7312614260
PARTNER_REUTERS_BIDASK_24H,2021-01-03T01:00:00.000+0000,USD,GBP,0.7312614260
PARTNER_REUTERS_BIDASK_24H,2021-01-04T01:00:00.000+0000,USD,GBP,0.7315288954
PARTNER_REUTERS_BIDASK_24H,2021-01-05T01:00:00.000+0000,USD,GBP,0.7366482505
PARTNER_REUTERS_BIDASK_24H,2021-01-06T01:00:00.000+0000,USD,GBP,0.7335142669
PARTNER_REUTERS_BIDASK_24H,2021-01-07T01:00:00.000+0000,USD,GBP,0.7340527050
PARTNER_REUTERS_BIDASK_24H,2021-01-08T01:00:00.000+0000,USD,GBP,0.7373000074
PARTNER_REUTERS_BIDASK_24H,2021-01-09T01:00:00.000+0000,USD,GBP,0.7370283019
PARTNER_REUTERS_BIDASK_24H,2021-01-10T01:00:00.000+0000,USD,GBP,0.7370283019
PARTNER_REUTERS_BIDASK_24H,2021-01-11T01:00:00.000+0000,USD,GBP,0.7392622163
PARTNER_REUTERS_BIDASK_24H,2021-01-12T01:00:00.000+0000,USD,GBP,0.7398638650
PARTNER_REUTERS_BIDASK_24H,2021-01-13T01:00:00.000+0000,USD,GBP,0.7314218841
PARTNER_REUTERS_BIDASK_24H,2021-01-14T01:00:00.000+0000,USD,GBP,0.7325470661
PARTNER_REUTERS_BIDASK_24H,2021-01-15T01:00:00.000+0000,USD,GBP,0.7305669199
PARTNER_REUTERS_BIDASK_24H,2021-01-16T01:00:00.000+0000,USD,GBP,0.7357810316
PARTNER_REUTERS_BIDASK_24H,2021-01-17T01:00:00.000+0000,USD,GBP,0.7357810316
PARTNER_REUTERS_BIDASK_24H,2021-01-18T01:00:00.000+0000,USD,GBP,0.7361059993
PARTNER_REUTERS_BIDASK_24H,2021-01-19T01:00:00.000+0000,USD,GBP,0.7354563507
PARTNER_REUTERS_BIDASK_24H,2021-01-20T01:00:00.000+0000,USD,GBP,0.7329766180
PARTNER_REUTERS_BIDASK_24H,2021-01-21T01:00:00.000+0000,USD,GBP,0.7318501171
PARTNER_REUTERS_BIDASK_24H,2021-01-22T01:00:00.000+0000,USD,GBP,0.7282790765
PARTNER_REUTERS_BIDASK_24H,2021-01-23T01:00:00.000+0000,USD,GBP,0.7305135510
PARTNER_REUTERS_BIDASK_24H,2021-01-24T01:00:00.000+0000,USD,GBP,0.7305135510
PARTNER_REUTERS_BIDASK_24H,2021-01-25T01:00:00.000+0000,USD,GBP,0.7304601899
PARTNER_REUTERS_BIDASK_24H,2021-01-26T01:00:00.000+0000,USD,GBP,0.7316359380
PARTNER_REUTERS_BIDASK_24H,2021-01-27T01:00:00.000+0000,USD,GBP,0.7274314396
PARTNER_REUTERS_BIDASK_24H,2021-01-28T01:00:00.000+0000,USD,GBP,0.7317965606
PARTNER_REUTERS_BIDASK_24H,2021-01-29T01:00:00.000+0000,USD,GBP,0.7291286912
PARTNER_REUTERS_BIDASK_24H,2021-01-30T01:00:00.000+0000,USD,GBP,0.7291286912
PARTNER_REUTERS_BIDASK_24H,2021-01-31T01:00:00.000+0000,USD,GBP,0.7291286912
PARTNER_REUTERS_BIDASK_24H,2021-02-01T01:00:00.000+0000,USD,GBP,0.7296607078
PARTNER_REUTERS_BIDASK_24H,2021-02-02T01:00:00.000+0000,USD,GBP,0.7314218841
PARTNER_REUTERS_BIDASK_24H,2021-02-03T01:00:00.000+0000,USD,GBP,0.7316894710
PARTNER_REUTERS_BIDASK_24H,2021-02-04T01:00:00.000+0000,USD,GBP,0.7328154771
PARTNER_REUTERS_BIDASK_24H,2021-02-05T01:00:00.000+0000,USD,GBP,0.7306202966
PARTNER_REUTERS_BIDASK_24H,2021-02-06T01:00:00.000+0000,USD,GBP,0.7278550113
PARTNER_REUTERS_BIDASK_24H,2021-02-07T01:00:00.000+0000,USD,GBP,0.7278550113
PARTNER_REUTERS_BIDASK_24H,2021-02-08T01:00:00.000+0000,USD,GBP,0.7280669822
PARTNER_REUTERS_BIDASK_24H,2021-02-09T01:00:00.000+0000,USD,GBP,0.7271669575
PARTNER_REUTERS_BIDASK_24H,2021-02-10T01:00:00.000+0000,USD,GBP,0.7240081089
PARTNER_REUTERS_BIDASK_24H,2021-02-11T01:00:00.000+0000,USD,GBP,0.7231703789
PARTNER_REUTERS_BIDASK_24H,2021-02-12T01:00:00.000+0000,USD,GBP,0.7242702977
PARTNER_REUTERS_BIDASK_24H,2021-02-13T01:00:00.000+0000,USD,GBP,0.7223345854
PARTNER_REUTERS_BIDASK_24H,2021-02-14T01:00:00.000+0000,USD,GBP,0.7223345854
PARTNER_REUTERS_BIDASK_24H,2021-02-15T01:00:00.000+0000,USD,GBP,0.7205649229
PARTNER_REUTERS_BIDASK_24H,2021-02-16T01:00:00.000+0000,USD,GBP,0.7180812868
PARTNER_REUTERS_BIDASK_24H,2021-02-17T01:00:00.000+0000,USD,GBP,0.7208246234
PARTNER_REUTERS_BIDASK_24H,2021-02-18T01:00:00.000+0000,USD,GBP,0.7207726683
PARTNER_REUTERS_BIDASK_24H,2021-02-19T01:00:00.000+0000,USD,GBP,0.7160246312
PARTNER_REUTERS_BIDASK_24H,2021-02-20T01:00:00.000+0000,USD,GBP,0.7133176403
PARTNER_REUTERS_BIDASK_24H,2021-02-22T01:00:00.000+0000,USD,GBP,0.7126060001
PARTNER_REUTERS_BIDASK_24H,2021-02-23T01:00:00.000+0000,USD,GBP,0.7106815436
PARTNER_REUTERS_BIDASK_24H,2021-02-24T01:00:00.000+0000,USD,GBP,0.7078142695
PARTNER_REUTERS_BIDASK_24H,2021-02-25T01:00:00.000+0000,USD,GBP,0.7067637289
PARTNER_REUTERS_BIDASK_24H,2021-02-26T01:00:00.000+0000,USD,GBP,0.7154611147
PARTNER_REUTERS_BIDASK_24H,2021-02-27T01:00:00.000+0000,USD,GBP,0.7175145297
PARTNER_REUTERS_BIDASK_24H,2021-02-28T01:00:00.000+0000,USD,GBP,0.7175145297
PARTNER_REUTERS_BIDASK_24H,2021-03-01T01:00:00.000+0000,USD,GBP,0.7148984844
PARTNER_REUTERS_BIDASK_24H,2021-03-02T01:00:00.000+0000,USD,GBP,0.7179781735
PARTNER_REUTERS_BIDASK_24H,2021-03-03T01:00:00.000+0000,USD,GBP,0.7164863509
PARTNER_REUTERS_BIDASK_24H,2021-03-04T01:00:00.000+0000,USD,GBP,0.7174115790
PARTNER_REUTERS_BIDASK_24H,2021-03-05T01:00:00.000+0000,USD,GBP,0.7199942400
PARTNER_REUTERS_BIDASK_24H,2021-03-06T01:00:00.000+0000,USD,GBP,0.7222302470
PARTNER_REUTERS_BIDASK_24H,2021-03-07T01:00:00.000+0000,USD,GBP,0.7222302470
PARTNER_REUTERS_BIDASK_24H,2021-03-08T01:00:00.000+0000,USD,GBP,0.7216569243
PARTNER_REUTERS_BIDASK_24H,2021-03-09T01:00:00.000+0000,USD,GBP,0.7241129616
